Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Azerbaijan,CAIT,Total including LUCF,All GHG,MtCO₂e,71.65,73.05,73.04,74.74,74.56,75.01,73.84,71.54,67.26,66.33,58.75,60.09,63.58,59.59,58.31,60.61,59.7,59.14,57.03,56.72,55.88,55.79,60.43,62.48,69.01,60.87,84.57,75.54
Mongolia,CAIT,Total including LUCF,All GHG,MtCO₂e,70.73,67.59,68.87,63.54,61.48,60.45,56.15,51.21,55.4,59.13,59.74,57.55,46.52,44.68,43.74,48.24,46.99,54.69,50.7,50.8,56.53,49.44,50.18,49.27,51.04,52.24,54.37,52.14
Cambodia,CAIT,Total including LUCF,All GHG,MtCO₂e,67.82,65.46,62.13,57.85,58.62,56.24,57.28,54.7,54.17,53.24,53.26,51.65,59.1,58.49,56.54,54.22,52.6,49.66,51.32,51.8,48.29,46.99,49.85,47.68,48.76,47.83,47.18,47.37
Zimbabwe,CAIT,Total including LUCF,All GHG,MtCO₂e,66.53,66.16,67.59,66.25,67.64,67.68,67.43,66.75,63.73,62.83,64.46,63.91,65.03,64.84,64.7,67.5,71.41,69.58,72.41,70.11,68.79,69.62,68.26,68.41,68.67,72.21,71.4,71.1
Singapore,CAIT,Total including LUCF,All GHG,MtCO₂e,66.15,64.11,62.71,60.88,59.7,58.79,59.28,56.27,52.43,51.85,51.54,50.28,49.8,52.51,51.08,54.17,55.05,55.28,50.64,49.69,50.73,50.62,49.18,47.83,44.26,37.37,34.78,31.59
Papua New Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,65.56,65.31,135.48,74.46,63.32,60.25,58.3,67.19,58.76,63.38,57.61,73.28,61.35,104.06,64.69,76.11,53.31,56.39,56.55,56.8,171.05,54.44,68.24,67.13,66.26,65.19,64.15,63.15
Ireland,CAIT,Total including LUCF,All GHG,MtCO₂e,64.96,65.59,63.25,61.25,61.09,62.02,60.59,58.36,59.25,64.62,65.82,67.33,71.85,70.59,71.39,71.07,71.81,69.08,66.11,64.55,61.15,59.65,58.1,57.26,55.78,55.13,54.92,54.35
New Zealand,CAIT,Total including LUCF,All GHG,MtCO₂e,64.8,63.22,64.51,64.54,64.05,64.48,62.2,62.02,62.22,65,65.07,66.35,67.57,66.1,67.16,64.69,63.43,53.78,53.62,51.36,52.86,50.56,50.02,48.77,47.04,47.96,47.1,47.65
Nepal,CAIT,Total including LUCF,All GHG,MtCO₂e,63.95,61.33,47.23,51.33,48.63,48.11,43.78,43.68,43,39.48,36.45,36.41,63.95,62.3,63.11,59.4,60.92,64.27,63.93,61.9,60.65,59.78,61.2,59.95,59.09,58.14,58.28,57.89
Serbia,CAIT,Total including LUCF,All GHG,MtCO₂e,63.25,62.92,61.66,55.25,63.02,62.34,67.17,-0.69,-0.08,3.21,4.7,4.85,62.5,69.34,63.95,60.93,57.65,55.6,53.61,70.95,71.23,66.39,58.92,52.35,56.03,61.79,67.06,77.37
Hungary,CAIT,Total including LUCF,All GHG,MtCO₂e,63.06,61.15,60.54,57.65,57.2,59.76,63.53,62.99,63.02,68.96,70.45,72.53,75.41,76.38,77.6,74.66,76.68,72.64,75.43,74.71,74.83,76.49,74.29,75.99,76.33,75.78,85.73,90.76
North Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,60.02,67.48,62.77,69.33,64.91,75.47,74.18,88.01,91.47,107.7,99.4,111.94,107.71,105.41,103.19,101.81,105.9,102.93,99.56,95.52,104.15,111.75,123.8,132.8,144.32,153.88,168.06,175.54
Finland,CAIT,Total including LUCF,All GHG,MtCO₂e,59.85,62.81,60.1,63.56,67.65,66.88,72.66,54.75,46.68,50.33,58.39,60.33,53.08,65.25,69.32,61.01,58.66,44.08,45.68,46.59,50.27,52.28,45.78,49.78,43.18,41.93,45.04,45.13
Madagascar,CAIT,Total including LUCF,All GHG,MtCO₂e,57.56,58.13,56.96,57.28,60.06,55.69,59.48,71.69,72,64.25,69.6,65.69,61.04,55.22,54.92,50.6,60.12,68.13,70.74,71.74,69.5,70.88,72.94,72.56,72.6,72.14,71.8,71.71
Laos,CAIT,Total including LUCF,All GHG,MtCO₂e,55.57,52.29,41.55,36.57,37.7,34.97,30.54,42.05,31.66,28.76,40.12,28.51,31.86,39.83,28.54,27.93,25.38,18.37,18.95,20.32,18.66,19.04,23.07,23.07,22.77,22.81,22.55,22.69
Ghana,CAIT,Total including LUCF,All GHG,MtCO₂e,53.32,51.26,50.82,47.92,47.7,44.71,42.36,23,21.06,19.29,19.77,19.01,62.98,60,61.15,61.06,59.82,41.71,40.89,41.88,38.33,36.93,36.89,36.33,35.85,35.35,34.63,34.36
Honduras,CAIT,Total including LUCF,All GHG,MtCO₂e,51.01,51.12,50.31,50.92,50.11,48.35,50.21,47.41,47.61,47.4,47.28,46.65,48.54,45.83,48.85,43.34,42.83,54.22,53.76,54.78,54.27,53.95,55.26,54.47,53.77,53.94,53.61,53.47
Mali,CAIT,Total including LUCF,All GHG,MtCO₂e,50.77,48.5,43.65,42.37,41.93,40.92,40.25,39.83,36.72,37.19,35.21,35.06,34.19,34.48,31.13,31.45,31.15,31.65,32.44,31.18,26.73,25.74,24.06,23.72,23.46,23.24,23.18,23.22
Republic of Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,48.39,48.99,47.1,32.24,50.98,49.25,51.94,43.15,35.61,37.87,43.35,47.74,51.29,40.15,35.75,22.98,26.56,19.77,20.59,20.69,20.97,20.15,40.14,39.95,40.18,40.22,40.3,38.08
Bahrain,CAIT,Total including LUCF,All GHG,MtCO₂e,47.94,47.15,46.94,45.89,43.75,40.88,39.66,38.91,37.01,36.43,34.02,32.88,30.45,27.37,27.07,26.01,24.85,24.02,22.86,22.17,20.33,19.34,17.96,17.12,16.67,15.78,13.76,14.06
